Title,Rating
Tribes: Ascend,5.0
Super Mario Odyssey,5.0
Half-Life: Alyx,5.0
Blade & Sorcery,5.0
Dark Souls: Remastered,5.0
Dark Souls III,5.0
Battlefield 1,5.0
Swords and Sandals Classic Collection,5.0
Apex Legends,5.0
Old School RuneScape,5.0
Helldivers 2,5.0
Elden Ring,5.0
Battlefield Heroes,5.0
Minecraft,4.5
Beat Saber,4.5
Melvor Idle,4.5
Euro Truck Simulator 2,4.5
Sleeping Dogs: Definitive Edition,4.5
World of Warcraft,4.5
Sekiro: Shadows Die Twice,4.5
Rocket League,4.5
The Pathless,4.5
Hades,4.5
God of War,4.5
Call of Duty: Modern Warfare,4.0
SuperHot VR,4.0
Into the Radius,4.0
Ni no Kuni II: Revenant Kingdom,4.0

Minecraft Dungeons,3.5
Isle of Arrows,3.5
Far Cry 5,3.5
Celeste,3.5
Borderlands 2,3.5
Archero,3.5
Clash Royale,3.5
BBTAN,3.5
DragonVale,3.5
Trombone Champ,3.5
Teardown,3.5
Assassin's Creed Origins,3.5
Middle-earth: Shadow of Mordor,3.5
Just Cause 3,3.5
Job Simulator: The 2050 Archives,3.5
Horizon Zero Dawn: Complete Edition,3.5
The Gnorp Apologue,3.5
Donut County,3.5
Unnamed Space Idle,3.0
Thumper,3.0
Star Wars Jedi: Fallen Order,3.0
Red Faction: Guerrilla - Steam Edition,3.0
Mini Motorways,3.0
Combat Arms,3.0
Cities: Skylines,3.0
Call of Duty: Modern Warfare II,3.0
Brighter Shores,3.0
Ragnarock,3.0
Bonelab,3.0
Slay the Spire,3.0
Remnant: From the Ashes,3.0
PowerWash Simulator,3.0
Mount & Blade: With Fire and Sword,3.0
Human: Fall Flat,3.0
High on Life,3.0
The Forest,3.0
Duck Game,3.0
Dead Cells,3.0
Cruelty Squad,3.0
Hay Day,3.0
Bloons TD 5,3.0
Subway Surfers,3.0
Hill Climb Racing,3.0
Wreckfest,3.0

PowerWash Adventure,2.5
Pistol Whip,2.5
Sons of the Forest,2.5
Slime Rancher,2.5
Samorost 1,2.5
Paladins,2.5
Just Cause 2,2.5
APB Reloaded,2.5
Pako: Car Chase Simulator,2.5
Best Fiends Forever,2.5
Temple Run 2,2.5
Burrito Bison: Launcha Libre,2.5
Alto's Adventure,2.5
Superflight,2.5
Stick Fight: The Game,2.5
Sniper: Ghost Warrior 2,2.5
The Ramp,2.5
Leaf Blower Revolution: Idle Game,2.5
Knightmare Tower,2.5

Destiny 2,2.0
Battlefield 2042,2.0
Zombie Road Trip,2.0
Fruit Ninja Classic,2.0
"Egg, Inc.",2.0
Bike Race Pro: Motor Racing,2.0
Backflip Madness,2.0
Flappy Bird,2.0
Stumble Guys,2.0
Sniper: Ghost Warrior 3,2.0
Lyne,2.0
PegIdle,2.0
Mining Mechs,2.0
Learn to Fly 3,2.0
The Last Stand Legacy Collection,2.0
Lara Croft Go,2.0
Fate,2.0
Disney Speedstorm,2.0
Crash Drive 2,2.0
Coin Flipper,2.0
AdVenture Capitalist,2.0
Wizard of Legend,1.5
Supermarket Together,1.5
Rust,1.5
Realm of the Mad God Exalt,1.5
Puzzle Pirates,1.5
MultiVersus,1.5
Idle Slayer,1.5
Hapland Trilogy,1.5
Exodus Borealis,1.5
Downwell,1.5
Dirty Bomb,1.5
Clicker Heroes,1.5
Bitburner,1.5
Drums Rock,1.5
Truck and Logistics Simulator,1.5
Goat Simulator,1.5
PewDiePie's Tuber Simulator,1.5
Cut the Rope 2,1.5
Bitcoin Billionaire,1.5
Candy Crush Saga,1.5
Time Clickers,1.5
Outriders,1.5
Mr.Mine,1.5
Jack Move,1.5
Earn to Die 2,1.5
Don't Escape Trilogy,1.5
Unturned,1.0
Table Top Racing: World Tour,1.0
Sonny,1.0
Phasmophobia,1.0
Necesse,1.0
Mount Your Friends,1.0
McPixel 3,1.0
Hot Wheels Unleashed,1.0
Hearts of Iron IV,1.0
Getting Over It with Bennett Foddy,1.0
Farming Simulator 22,1.0
DLC Quest,1.0
The Crew,1.0
Castle Crashers,1.0
Among Us,1.0
Synth Riders,1.0
Rumble,1.0
Audio Trip,1.0
Neon Rider Classic,1.0
Dirt Showdown,1.0
Earn to Die,1.0
Asphalt: Xtreme,1.0
Lasers,1.0
Crash Drive 3,1.0
Zenith: Nexus,0.5
PowerBeatsVR,0.5
Boom Beach,0.5
Hill Climb Racing 2,0.5
Shatterline,0.5
Masked Shooters 2,0.5
Krunker,0.5
Warface: Clutch,0.0
